year,sex,age,mx,qx,lx,dx,Lx,Tx,ex,causa
2019,f,20,0.000989,0.004933,96893,478,483270,5089053,52.52,todas_causas
2019,f,25,0.001058,0.005274,96415,509,480804,4605783,47.77,todas_causas
2019,f,30,0.001832,0.009119,95907,875,477346,4124979,43.01,todas_causas
2019,f,35,0.002095,0.010422,95032,990,472684,3647632,38.38,todas_causas
2019,f,40,0.003341,0.016569,94042,1558,466313,3174948,33.76,todas_causas
2019,f,45,0.005408,0.026681,92483,2468,456248,2708636,29.29,todas_causas
2019,f,50,0.008137,0.039872,90016,3589,441107,2252387,25.02,todas_causas
2019,f,55,0.012567,0.06092,86427,5265,418971,1811281,20.96,todas_causas
2019,f,60,0.021211,0.100716,81162,8174,385372,1392310,17.15,todas_causas
2019,f,65,0.030867,0.143279,72987,10458,338793,1006937,13.8,todas_causas
2019,f,70,0.048669,0.216947,62530,13566,278735,668144,10.69,todas_causas
2019,f,75,0.07852,0.328177,48964,16069,204649,389409,7.95,todas_causas
2019,f,80,0.134579,0.503497,32895,16563,123070,184761,5.62,todas_causas
2019,f,85,0.264747,1,16333,16333,61691,61691,3.78,todas_causas
2021,f,0,0.016315,0.016079,1e+05,1608,98551,6732680,67.33,todas_causas
2021,f,1,0.000952,0.003797,98392,374,392633,6634130,67.43,todas_causas
2021,f,5,0.000194,0.000971,98019,95,489855,6241496,63.68,todas_causas
2021,f,10,0.00049,0.002447,97923,240,489018,5751641,58.74,todas_causas
2021,f,15,0.000802,0.004003,97684,391,487441,5262624,53.87,todas_causas
2021,f,20,0.001094,0.005457,97293,531,485136,4775182,49.08,todas_causas
2021,f,25,0.00148,0.007372,96762,713,482026,4290046,44.34,todas_causas
2021,f,30,0.002204,0.010957,96049,1052,477612,3808020,39.65,todas_causas
2021,f,35,0.003415,0.016931,94996,1608,470960,3330408,35.06,todas_causas
2021,f,40,0.004494,0.022221,93388,2075,461751,2859449,30.62,todas_causas
2021,f,45,0.008414,0.041205,91313,3763,447157,2397698,26.26,todas_causas
