year,sex,age,deaths,deaths_homicidios,deaths_otras,prop_homicidios
1998,male,65,720.647022092753,0,720.647022092753,0
1998,male,70,804.111790188242,0,804.111790188242,0
1998,male,75,999.541491094751,0,999.541491094751,0
1998,male,80,1001.57721714586,0,1001.57721714586,0
1998,male,85,1473.86566100326,0,1473.86566100326,0
1999,female,0,507.826517257938,0,507.826517257938,0
1999,female,1,116.052076233062,0,116.052076233062,0
1999,female,5,40.7200267484427,0,40.7200267484427,0
1999,female,10,34.6120227361763,0,34.6120227361763,0
1999,female,15,50.9000334355533,0,50.9000334355533,0
1999,female,20,65.1520427975083,0,65.1520427975083,0
1999,female,25,75.3320494846189,0,75.3320494846189,0
1999,female,30,89.5840588465739,0,89.5840588465739,0
1999,female,35,122.160080245328,0,122.160080245328,0
1999,female,40,160.844105656349,0,160.844105656349,0
1999,female,45,205.636135079635,0,205.636135079635,0
1999,female,50,293.184192588787,0,293.184192588787,0
1999,female,55,323.724212650119,0,323.724212650119,0
1999,female,60,490.676322318734,0,490.676322318734,0
1999,female,65,629.124413263439,0,629.124413263439,0
1999,female,70,710.564466760325,0,710.564466760325,0
1999,female,75,897.876589803161,0,897.876589803161,0
1999,female,80,932.488612539337,0,932.488612539337,0
1999,female,85,1492.38898033042,0,1492.38898033042,0
1999,male,0,693.053376514202,0,693.053376514202,0
1999,male,1,136.742595675654,0,136.742595675654,0
1999,male,5,57.1461593868404,0,57.1461593868404,0
1999,male,10,51.0233565953932,0,51.0233565953932,0
1999,male,15,130.619792884207,0,130.619792884207,0
1999,male,20,214.298097700652,0,214.298097700652,0
1999,male,25,202.052492117757,0,202.052492117757,0
1999,male,30,185.725018007231,0,185.725018007231,0
1999,male,35,283.689862670386,0,283.689862670386,0
1999,male,40,267.362388559861,0,267.362388559861,0
1999,male,45,275.526125615123,0,275.526125615123,0
1999,male,50,381.654707333541,0,381.654707333541,0
1999,male,55,455.128340830908,0,455.128340830908,0
1999,male,60,506.151697426301,0,506.151697426301,0
1999,male,65,653.098964421033,0,653.098964421033,0
1999,male,70,800.046231415766,0,800.046231415766,0
1999,male,75,1042.91740880984,0,1042.91740880984,0
1999,male,80,1044.95834307365,0,1044.95834307365,0
1999,male,85,1393.95810218614,0,1393.95810218614,0
2000,female,0,498.429313426558,0,498.429313426558,0
2000,female,1,103.991507067148,0,103.991507067148,0
2000,female,5,50.9762289544845,0,50.9762289544845,0
2000,female,10,50.9762289544845,0,50.9762289544845,0
2000,female,15,63.2105239035608,0,63.2105239035608,0
2000,female,20,61.1714747453814,0,61.1714747453814,0
2000,female,25,83.6010154853546,0,83.6010154853546,0
2000,female,30,124.381998648942,0,124.381998648942,0
2000,female,35,126.421047807122,0,126.421047807122,0
2000,female,40,167.202030970709,0,167.202030970709,0
2000,female,45,214.100161608835,0,214.100161608835,0
2000,female,50,311.974521201445,0,311.974521201445,0
2000,female,55,360.91170099775,0,360.91170099775,0
2000,female,60,505.684191228486,0,505.684191228486,0
2000,female,65,568.894715132047,0,568.894715132047,0
2000,female,70,721.8234019955,0,721.8234019955,0
2000,female,75,907.376875389824,0,907.376875389824,0
2000,female,80,940.001661920694,0,940.001661920694,0
2000,female,85,1553.75545853269,0,1553.75545853269,0
2000,male,0,627.202931214983,0,627.202931214983,0
2000,male,1,97.5691556414374,0,97.5691556414374,0
2000,male,5,65.0461037609582,0,65.0461037609582,0
2000,male,10,63.0134130184283,0,63.0134130184283,0
2000,male,15,119.928753809267,0,119.928753809267,0
2000,male,20,174.811403857575,0,174.811403857575,0
2000,male,25,203.269074252995,0,203.269074252995,0
2000,male,30,241.890198361064,0,241.890198361064,0
2000,male,35,256.119033558773,0,256.119033558773,0
2000,male,40,329.295900289851,0,329.295900289851,0
2000,male,45,378.08047811057,0,378.08047811057,0
2000,male,50,400.440076278399,0,400.440076278399,0
2000,male,55,493.943850434777,0,493.943850434777,0
2000,male,60,532.564974542846,0,532.564974542846,0
2000,male,65,666.722563549822,0,666.722563549822,0
2000,male,70,766.324409933789,0,766.324409933789,0
2000,male,75,1010.24729903738,0,1010.24729903738,0
2000,male,80,933.005050821245,0,933.005050821245,0
2000,male,85,1345.64127155482,0,1345.64127155482,0
2001,female,0,533.108321981359,0,533.108321981359,0
2001,female,1,110.891407380735,0,110.891407380735,0
2001,female,5,46.3727703592163,0,46.3727703592163,0
2001,female,10,36.2917333246041,0,36.2917333246041,0
2001,female,15,64.5186370215184,0,64.5186370215184,0
2001,female,20,66.5348444284408,0,66.5348444284408,0
2001,female,25,54.4375999869061,0,54.4375999869061,0
2001,female,30,74.5996740561306,0,74.5996740561306,0
2001,female,35,114.92382219458,0,114.92382219458,0
2001,female,40,139.118311077649,0,139.118311077649,0
2001,female,45,219.766607354547,0,219.766607354547,0
2001,female,50,320.576977700669,0,320.576977700669,0
2001,female,55,387.11182212911,0,387.11182212911,0
2001,female,60,489.938399882155,0,489.938399882155,0
2001,female,65,564.538073938286,0,564.538073938286,0
2001,female,70,762.126399816686,0,762.126399816686,0
2001,female,75,1014.15232568199,0,1014.15232568199,0
2001,female,80,963.747140508931,0,963.747140508931,0
2001,female,85,1750.06802920869,0,1750.06802920869,0
2001,male,0,600.514308887156,0,600.514308887156,0
2001,male,1,125.11196088662,0,125.11196088662,0
2001,male,5,66.5918501493301,0,66.5918501493301,0
2001,male,10,66.5918501493301,0,66.5918501493301,0
2001,male,15,113.00435176856,0,113.00435176856,0
2001,male,20,145.29130941672,0,145.29130941672,0
2001,male,25,228.02663839013,0,228.02663839013,0
2001,male,30,244.17011721421,0,244.17011721421,0
2001,male,35,266.36740059732,0,266.36740059732,0
2001,male,40,300.672293098491,0,300.672293098491,0
2001,male,45,332.959250746651,0,332.959250746651,0
2001,male,50,409.640775161031,0,409.640775161031,0
2001,male,55,524.663061782601,0,524.663061782601,0
2001,male,60,498.429908693471,0,498.429908693471,0
2001,male,65,669.954371199321,0,669.954371199321,0
2001,male,70,857.622312529251,0,857.622312529251,0
2001,male,75,988.788077974902,0,988.788077974902,0
2001,male,80,1109.8641691555,0,1109.8641691555,0
2001,male,85,1452.9130941672,0,1452.9130941672,0
2002,female,0,448.812043792832,0,448.812043792832,0
2002,female,1,72.3113363167506,0,72.3113363167506,0
2002,female,5,46.1989093134796,0,46.1989093134796,0
2002,female,10,54.233502237563,0,54.233502237563,0
2002,female,15,52.2248540065421,0,52.2248540065421,0
2002,female,20,78.3372810098132,0,78.3372810098132,0
2002,female,25,78.3372810098132,0,78.3372810098132,0
2002,female,30,108.467004475126,0,108.467004475126,0
2002,female,35,130.562135016355,0,130.562135016355,0
2002,female,40,176.761044329835,0,176.761044329835,0
2002,female,45,237.02049126046,0,237.02049126046,0
2002,female,50,313.349124039253,0,313.349124039253,0
2002,female,55,459.980444903775,0,459.980444903775,0
2002,female,60,512.205298910317,0,512.205298910317,0
2002,female,65,592.551228151151,0,592.551228151151,0
2002,female,70,811.493885332424,0,811.493885332424,0
2002,female,75,881.796573418153,0,881.796573418153,0
2002,female,80,1074.62680359616,0,1074.62680359616,0
2002,female,85,1767.61044329835,0,1767.61044329835,0
2002,male,0,572.264252493111,0,572.264252493111,0
2002,male,1,112.618710884887,0,112.618710884887,0
2002,male,5,56.3093554424434,0,56.3093554424434,0
2002,male,10,62.3425006684195,0,62.3425006684195,0
2002,male,15,124.685001336839,0,124.685001336839,0
2002,male,20,191.049598822576,0,191.049598822576,0
2002,male,25,285.568874029535,0,285.568874029535,0
2002,male,30,243.336857447702,0,243.336857447702,0
2002,male,35,285.568874029535,0,285.568874029535,0
2002,male,40,357.966616741247,0,357.966616741247,0
2002,male,45,434.386456270278,0,434.386456270278,0
2002,male,50,512.817344207967,0,512.817344207967,0
2002,male,55,470.585327626134,0,470.585327626134,0
2002,male,60,593.259280554315,0,593.259280554315,0
2002,male,65,756.154201655669,0,756.154201655669,0
2002,male,70,782.297830968232,0,782.297830968232,0
2002,male,75,993.457913877395,0,993.457913877395,0
2002,male,80,1120.15396362289,0,1120.15396362289,0
2002,male,85,1510.29735490268,0,1510.29735490268,0
2003,female,0,427.131741258641,0,427.131741258641,0
2003,female,1,100.265666962122,0,100.265666962122,0
2003,female,5,34.0903267671216,0,34.0903267671216,0
2003,female,10,54.1434601595461,0,54.1434601595461,0
2003,female,15,66.1753401950007,0,66.1753401950007,0
2003,female,20,78.2072202304554,0,78.2072202304554,0
2003,female,25,102.270980301365,0,102.270980301365,0
2003,female,30,76.201906891213,0,76.201906891213,0
2003,female,35,128.340053711517,0,128.340053711517,0
2003,female,40,150.398500443184,0,150.398500443184,0
2003,female,45,248.658854066063,0,248.658854066063,0
2003,female,50,324.860760957276,0,324.860760957276,0
2003,female,55,381.009534456065,0,381.009534456065,0
2003,female,60,489.296454775157,0,489.296454775157,0
2003,female,65,633.679015200613,0,633.679015200613,0
2003,female,70,890.359122623646,0,890.359122623646,0
2003,female,75,1018.69917633516,0,1018.69917633516,0
2003,female,80,1225.24645027713,0,1225.24645027713,0
2003,female,85,1874.01017711802,0,1874.01017711802,0
2003,male,0,542.296719266986,0,542.296719266986,0
2003,male,1,92.3912929121532,0,92.3912929121532,0
2003,male,5,50.2126591913876,0,50.2126591913876,0
2003,male,10,48.2041528237321,0,48.2041528237321,0
2003,male,15,160.68050941244,0,160.68050941244,0
2003,male,20,198.842130397895,0,198.842130397895,0
2003,male,25,239.012257751005,0,239.012257751005,0
2003,male,30,287.216410574737,0,287.216410574737,0
2003,male,35,313.326993354259,0,313.326993354259,0
2003,male,40,353.497120707369,0,353.497120707369,0
2003,male,45,403.709779898756,0,403.709779898756,0
2003,male,50,447.896919987177,0,447.896919987177,0
2003,male,55,528.237174693398,0,528.237174693398,0
2003,male,60,586.483859355407,0,586.483859355407,0
2003,male,65,745.155862400192,0,745.155862400192,0
2003,male,70,877.717282665455,0,877.717282665455,0
2003,male,75,1036.38928571024,0,1036.38928571024,0
2003,male,80,1289.46108803483,0,1289.46108803483,0
2003,male,85,1716.22375813327,0,1716.22375813327,0
2004,female,0,434.493350062735,0,434.493350062735,0
2004,female,1,94.5425345043915,0,94.5425345043915,0
2004,female,5,42.242409033877,0,42.242409033877,0
2004,female,10,40.2308657465496,0,40.2308657465496,0
2004,female,15,60.3462986198243,0,60.3462986198243,0
2004,female,20,64.3693851944793,0,64.3693851944793,0
2004,female,25,68.3924717691342,0,68.3924717691342,0
2004,female,30,58.3347553324969,0,58.3347553324969,0
2004,female,35,118.681053952321,0,118.681053952321,0
2004,female,40,152.877289836888,0,152.877289836888,0
2004,female,45,225.292848180678,0,225.292848180678,0
2004,female,50,305.754579673777,0,305.754579673777,0
2004,female,55,466.678042659975,0,466.678042659975,0
2004,female,60,557.197490589711,0,557.197490589711,0
2004,female,65,716.109410288582,0,716.109410288582,0
2004,female,70,770.421079046424,0,770.421079046424,0
2004,female,75,893.1252195734,0,893.1252195734,0
2004,female,80,1158.64893350063,0,1158.64893350063,0
2004,female,85,1788.26198243413,0,1788.26198243413,0
2004,male,0,528.002618943693,0,528.002618943693,0
2004,male,1,78.5958096900917,0,78.5958096900917,0
2004,male,5,58.4430379746835,0,58.4430379746835,0
2004,male,10,60.4583151462244,0,60.4583151462244,0
2004,male,15,104.794412920122,0,104.794412920122,0
2004,male,20,171.298559580969,0,171.298559580969,0
