"year","sex","age","deaths"
1994,"male",30,227.376757263355
1994,"male",35,273.656982193065
1994,"male",40,291.766635426429
1994,"male",45,346.095595126523
1994,"male",50,338.046860356139
1994,"male",55,426.582942830366
1994,"male",60,446.704779756326
1994,"male",65,557.37488284911
1994,"male",70,808.897844423618
1994,"male",75,935.66541705717
1994,"male",80,949.750702905342
1994,"male",85,1251.57825679475
1995,"male",0,795.665318842477
1995,"male",1,156.669810557178
1995,"male",5,64.2747940747398
1995,"male",10,72.3091433340823
1995,"male",15,116.498064260466
1995,"male",20,186.798620279713
1995,"male",25,224.961779261589
1995,"male",30,239.021890465439
1995,"male",35,279.193636762151
1995,"male",40,299.279509910507
1995,"male",45,341.459843522055
1995,"male",50,353.511367411069
1995,"male",55,405.734637596795
1995,"male",60,474.026606301206
1995,"male",65,554.370098894631
1995,"male",70,805.443513249083
1995,"male",75,1022.37094325133
1995,"male",80,1060.53410223321
1995,"male",85,1436.13993010747
1996,"male",0,778.315402967271
1996,"male",1,163.269270653301
1996,"male",5,52.4074202097016
1996,"male",10,66.5171102661597
1996,"male",15,116.908860467796
1996,"male",20,231.802050927526
1996,"male",25,241.880400967853
1996,"male",30,227.770710911395
1996,"male",35,278.162461113031
1996,"male",40,320.491531282406
1996,"male",45,314.444521258209
1996,"male",50,356.773591427584
1996,"male",55,437.400391750202
1996,"male",60,507.948842032492
1996,"male",65,604.701002419634
1996,"male",70,870.769443484272
1996,"male",75,967.521603871414
1996,"male",80,1011.86634404885
1996,"male",85,1455.31374582325
1997,"male",0,741.083474372729
1997,"male",1,153.413253999986
1997,"male",5,54.5020770789426
1997,"male",10,62.5764588684155
1997,"male",15,133.227299526304
1997,"male",20,173.599208473669
1997,"male",25,181.673590263142
1997,"male",30,248.287240026294
1997,"male",35,276.547576289449
1997,"male",40,280.584767184186
1997,"male",45,387.570325894703
1997,"male",50,359.309989631547
1997,"male",55,409.774875815753
1997,"male",60,522.816220868375
1997,"male",65,571.262511605213
1997,"male",70,845.791492447294
1997,"male",75,999.20474644728
1997,"male",80,934.609692131496
1997,"male",85,1348.42175884199
1998,"male",0,719.716851881708
1998,"male",1,140.465097526554
1998,"male",5,67.1789596866126
1998,"male",10,54.9646033799558
1998,"male",15,126.215015168787
1998,"male",20,160.822358037648
1998,"male",25,191.35824880429
1998,"male",30,252.430030337575
1998,"male",35,311.466085819749
1998,"male",40,313.501811870859
1998,"male",45,311.466085819749
1998,"male",50,374.573593404143
1998,"male",55,462.10981360185
1998,"male",60,517.074416981806
1998,"male",65,720.647022092753
1998,"male",70,804.111790188242
1998,"male",75,999.541491094751
1998,"male",80,1001.57721714586
1998,"male",85,1473.86566100326
1999,"male",0,693.053376514202
1999,"male",1,136.742595675654
1999,"male",5,57.1461593868404
1999,"male",10,51.0233565953932
1999,"male",15,130.619792884207
1999,"male",20,214.298097700652
1999,"male",25,202.052492117757
1999,"male",30,185.725018007231
1999,"male",35,283.689862670386
1999,"male",40,267.362388559861
1999,"male",45,275.526125615123
1999,"male",50,381.654707333541
1999,"male",55,455.128340830908
1999,"male",60,506.151697426301
1999,"male",65,653.098964421033
1999,"male",70,800.046231415766
1999,"male",75,1042.91740880984
1999,"male",80,1044.95834307365
1999,"male",85,1393.95810218614
2000,"male",0,627.202931214983
2000,"male",1,97.5691556414374
2000,"male",5,65.0461037609582
2000,"male",10,63.0134130184283
2000,"male",15,119.928753809267
2000,"male",20,174.811403857575
2000,"male",25,203.269074252995
2000,"male",30,241.890198361064
2000,"male",35,256.119033558773
2000,"male",40,329.295900289851
2000,"male",45,378.08047811057
2000,"male",50,400.440076278399
2000,"male",55,493.943850434777
2000,"male",60,532.564974542846
2000,"male",65,666.722563549822
2000,"male",70,766.324409933789
2000,"male",75,1010.24729903738
2000,"male",80,933.005050821245
2000,"male",85,1345.64127155482
2001,"male",0,600.514308887156
2001,"male",1,125.11196088662
2001,"male",5,66.5918501493301
2001,"male",10,66.5918501493301
2001,"male",15,113.00435176856
2001,"male",20,145.29130941672
2001,"male",25,228.02663839013
2001,"male",30,244.17011721421
2001,"male",35,266.36740059732
2001,"male",40,300.672293098491
2001,"male",45,332.959250746651
2001,"male",50,409.640775161031
2001,"male",55,524.663061782601
2001,"male",60,498.429908693471
2001,"male",65,669.954371199321
2001,"male",70,857.622312529251
2001,"male",75,988.788077974902
2001,"male",80,1109.8641691555
2001,"male",85,1452.9130941672
2002,"male",0,572.264252493111
2002,"male",1,112.618710884887
2002,"male",5,56.3093554424434
2002,"male",10,62.3425006684195
2002,"male",15,124.685001336839
2002,"male",20,191.049598822576
2002,"male",25,285.568874029535
2002,"male",30,243.336857447702
2002,"male",35,285.568874029535
2002,"male",40,357.966616741247
2002,"male",45,434.386456270278
2002,"male",50,512.817344207967
2002,"male",55,470.585327626134
2002,"male",60,593.259280554315
2002,"male",65,756.154201655669
2002,"male",70,782.297830968232
2002,"male",75,993.457913877395
2002,"male",80,1120.15396362289
2002,"male",85,1510.29735490268
2003,"male",0,542.296719266986
2003,"male",1,92.3912929121532
2003,"male",5,50.2126591913876
2003,"male",10,48.2041528237321
2003,"male",15,160.68050941244
2003,"male",20,198.842130397895
2003,"male",25,239.012257751005
2003,"male",30,287.216410574737
2003,"male",35,313.326993354259
2003,"male",40,353.497120707369
2003,"male",45,403.709779898756
2003,"male",50,447.896919987177
2003,"male",55,528.237174693398
2003,"male",60,586.483859355407
2003,"male",65,745.155862400192
2003,"male",70,877.717282665455
2003,"male",75,1036.38928571024
2003,"male",80,1289.46108803483
2003,"male",85,1716.22375813327
2004,"male",0,528.002618943693
2004,"male",1,78.5958096900917
2004,"male",5,58.4430379746835
2004,"male",10,60.4583151462244
2004,"male",15,104.794412920122
2004,"male",20,171.298559580969
2004,"male",25,205.558271497163
2004,"male",30,245.863814927979
2004,"male",35,282.138804015714
2004,"male",40,358.719336534265
2004,"male",45,419.177651680489
2004,"male",50,451.422086425142
2004,"male",55,487.697075512876
2004,"male",60,602.567874290703
2004,"male",65,725.499781754692
2004,"male",70,820.21780881711
2004,"male",75,898.813618507202
2004,"male",80,1146.69271060672
2004,"male",85,1588.03841117416
2005,"male",0,494.270362527085
2005,"male",1,129.333039374994
2005,"male",5,66.6873484277313
2005,"male",10,68.7081771679655
2005,"male",15,137.416354335931
2005,"male",20,143.478840556634
2005,"male",25,244.520277568348
2005,"male",30,242.499448828114
2005,"male",35,313.228454736313
2005,"male",40,347.582543320296
2005,"male",45,436.499007890605
2005,"male",50,515.311328759741
2005,"male",55,559.769561044896
2005,"male",60,630.498566953095
2005,"male",65,763.873263808558
2005,"male",70,907.352104365192
2005,"male",75,958.866466878176
2005,"male",80,1287.26790752924
2005,"male",85,1648.99625203117
2006,"male",0,488.072076142173
2006,"male",1,116.494569614181
2006,"male",5,36.1534871216425
2006,"male",10,60.2558118694041
2006,"male",15,188.801543857466
2006,"male",20,194.827125044407
2006,"male",25,210.895341542914
2006,"male",30,271.151153412319
2006,"male",35,309.313167596274
2006,"male",40,383.628668901873
2006,"male",45,431.833318397396
2006,"male",50,572.430212759339
2006,"male",55,614.609281067922
2006,"male",60,662.813930563445
2006,"male",65,823.580530444136
2006,"male",70,952.041827536585
2006,"male",75,1002.25500409442
2006,"male",80,1195.07360207652
2006,"male",85,1849.85342439071
2007,"male",0,444.482824359289
2007,"male",1,112.353080170314
2007,"male",5,40.1261000608266
2007,"male",10,72.2269801094878
2007,"male",15,186.586365282844
